MATCH	Root	Reconstruction	Gram_number	Gram_gender	Gram_form	Meaning_fr	Pages	Degree_Certainty	Relation_cpt__eg_forms	Coptic_S	Coptic_B	Coptic_A	Coptic_A2	Coptic_P	Coptic_F	Coptic_F0	Coptic_S0	Coptic_O	Coptic_B0	Coptic_A0	Coptic_M	Coptic_L	Coptic_G	Coptic_B_Gr	Coptic_Sf	Coptic_H	Coptic_A20	Coptic_Hf
2162	sbt			f		colline	184	very_likely	same	ⲥⲓⲃⲧ																		
2163	spdḏ	*sapdaḏ			inf.	préparer; arranger	185	very_likely	same	ⲥⲟⲃⲧⲉ	ⲥⲟⲃϯ																	
2164	npn.t	*nipra.t; *nipri.t		f		grain; graine	144	very_likely	same	ⲛⲁⲡⲛⲉ, ⲛⲁⲡⲣⲉ	ⲛⲁⲫⲣⲓ										ⲛⲉⲡⲛⲉ							
2165	s-qb				inf.	arroser; verser de l'eau	187	perhaps	same						ⲥⲁⲕⲃⲓ													
2166	nqꜥw.t	*laqāꜥa.t		f		fruit du sycomore	95	very_likely	same	ⲉⲗⲕⲱ, ⲗⲕⲱ		ⲗⲕⲟⲩ																
2167	nry	*nirya.t; *niꜣya.t		f		délai; terme; instant	141	very_likely	same		ⲛⲉⲓ		ⲛⲉⲉ						ⲛⲏⲓ									
2168	ry.t; rỉꜣỉ			f		pièce; chambre; cellule	171	very_likely	same	ⲣⲓ	ⲣⲓ				ⲗⲓ													
2169	srd	*sirīdi.t			inf.	glaner	197	very_likely	same	ⲥⲣⲓⲧ	ⲥⲣⲓⲧ				ⲥⲗⲓⲧ													
2170	srf				inf.	avoir le temps; s'occuper de (quelque chose)	197	very_likely	same	ⲥⲣϥⲉ																		
2174	slk				inf.	lisser; polir; enduire; essuyer; éliminer; joindre; coller	188	very_likely	same	ⲥⲱⲗϭ	ϣⲱⲗϫ, ϣⲱⲗⲕ																	
2175	zrm.t			f		lie; nom d'une boisson	196	very_likely	same	ⲥⲟⲣⲙ	ⲥⲟⲣⲉⲙ																	
