MATCH__ID	MATCH__form	MATCH__meaning_en	MATCH__gram_number	MATCH__gram_gender	MATCH__pattern
1868					
1869				f	
1870				f	
1871				f	
1872					
1873					
1874				f	
1875					
1876					
1877					
1878					
1879					
1880					
1881				f	
1882					
1883					
1884				f	
1885					
1886					
1887			pl. coll.		
1888			NN	NN	
1889					
1890					
1891				f	
1892					
1893			NN	NN	
1894				f	
1895					rr-rr
1896					
1897					
1898			NN	NN	
1899					
1900					
1901					
1902					
1903					
1904					
1905					
1906				f	
1907			pl	f	
1908				f	
1909					
1910					
1911					
1912				f	
1913				f	
1914				f	
1915				f	
1916				f	
1917				f	
1918					
1919					
1920					
1921			du	f	
1922					
1923					
1924					
1925					
1926			pl		
1927					
1928			NN	NN	
1929					
1930					
1931					
1932			du		
1933			pl		
1934					
1935			pl		
1936					
1937					
1938			pl	f	
1939					
1940				f	
1941					
1942					
1943				f	
1944				f	
1945				f	m-
1946					s-
1947				f	s-
1948					s-
1949					
1950				f	
1951				f	m-
1952					s-
1953				f	
1954				f	
1955				f	
1956					xrr-rr
1957			NN	NN	
1958				f	
1959					
1960					
1961					j-
1962					
1963					
1964					
1965			du		
1966				f	xrr
1967				f	
1968			pl		
1969					
1970				f	
1971					
1972					xrr
1973				f	
1974					
1975					
1976					
1977			pl		
1978				f	m-
1979					s-
1980					s-
1981					
1982					
1983					
1984					s-
1985					
1986					
1987					
1988				f	
1989			pl	f	
1990					
1991					
1992					
1993			pl		
1994				f	
1995			NN	NN	
1996					
1997					
1998					
1999					
2000					
2001					s-
2002				f	
2003					
2004					
2005				f	
2006					
2007					
2008			pl		
2009					
2010			pl		
2011					
2012				f	
2013					
2014					s-
2015					
2016					
2017					s-
2018					
2019					
2020					
2021					
2022					
2023					
2024					
2025					xrr
2026					
2027					
2028					
2029				f	
2030				f	
2031					
2032					
2033					
2034					
2035					
2036					
2037					
2038					
2039					
2040					
2041					
2042					
2043					
2044					
2045					
2046				f	
2047					
2048				f	
2049					
2050					
2051					
2052					
2053				f	
2054					
2055					s-
2056					
2057					s-
2058					m-
2059				f	m-
2060					m-
2061					m-
2062					m-
2063				f	m-
2064				f	m-
2065					m-
2066					m-
2067				f	s-
2068					s-
2069					m-
2070				f	m-
2071					s-
2072					s-
2073					s-
2074					s-
2075					s-
2076				f	s-
2077					s-
2078					s-
2079					s-
2080				f	s-
2081			pl	f	s-
2082					s-
2083					s-
2084					s-
2085					s-
2086					s-
2087					s-
2088					s-
2089					s-
2090					s-
2091					s-
2092					s-
2093					n-
2094					n-
2095					s-
2096				f	s-
2097					s-
2098					s-
2099					s-
2100					s-
